Country,Year,Species_Type,Count,Source
Afghanistan,2004,Threatened Species: Vertebrates (number),31.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2010,Threatened Species: Vertebrates (number),31.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2015,Threatened Species: Vertebrates (number),31.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2020,Threatened Species: Vertebrates (number),33.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2021,Threatened Species: Vertebrates (number),38.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2022,Threatened Species: Vertebrates (number),42.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2023,Threatened Species: Vertebrates (number),42.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2004,Threatened Species: Invertebrates (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2010,Threatened Species: Invertebrates (number),1.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2015,Threatened Species: Invertebrates (number),2.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2020,Threatened Species: Invertebrates (number),2.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
Afghanistan,2021,Threatened Species: Invertebrates (number),2.0,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2024."
